"ID","Extent","Region","Locality","Realm","Ecosystem.specificity","Period","Planning.purpose","Policy.relevance","Method","Biodiversity.type","Number.of.features","Multiple.objectives.or.constraints","Connectivity","Costs","Stakeholder.involvement","Authors","Title","Year","Journal","DOI","Link","Author.Keywords","Index.Keywords","Document.Type","Source","cite_scientific_May2023","cite_policy_May2023"
11,"Local","Netherlands","Noord-Brabant","Terrestrial","All","Contemporary only","Management action","Case study","Integer programming","Ecosystems",1,"None","None","no","no","Loonen W., Heuberger P.S.C., Bakema A.H., Schot P.","Application of a genetic algorithm to minimize agricultural nitrogen deposition in nature reserves",2006,"Agricultural Systems","10.1016/j.agsy.2005.06.021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644541858&doi=10.1016%2fj.agsy.2005.06.021&partnerID=40&md5=76d3c66181482045ba6552ca57a93922","Agricultural nitrogen emission; Critical load; Genetic algorithms; Kappa statistics; Map comparison; Spatial optimization","emission","Article","Scopus",12,0
12,"Local","United Kingdom","Berkshire","Terrestrial","All","Contemporary only","Priority places","None","Integer programming","Species",121,"None","Boundary","no","no","Önal H., Briers R.A.","Optimal selection of a connected reserve network",2006,"Operations Research","10.1287/opre.1060.0272","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645556610&doi=10.1287%2fopre.1060.0272&partnerID=40&md5=2f3146d5dd7cb4314727a9eb11c7af26","Facility layout and location: Reserve site selection with spatial considerations; Integer programming: Applications; Networks/graphs: Applications","Colonization; Facility layout and location: Reserve site selection with spatial considerations; Integer programming: Applications; Networks/graphs: Applications; Reserve selection problems; Computational complexity; Heuristic methods; Integer programming; Linear programming; Problem solving; Site selection; Operations research","Article","Scopus",72,0
13,"Local","Italy","Lombardy","Terrestrial","All","Contemporary only","Representation","None","GIS overlay/ Ranking / Clustering","Multiple",NA,"None","None","no","no","Canova L.","Protected areas and landscape conservation in the Lombardy plain (northern Italy): An appraisal",2006,"Landscape and Urban Planning","10.1016/j.landurbplan.2004.10.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-27344438158&doi=10.1016%2fj.landurbplan.2004.10.002&partnerID=40&md5=3cf779538a7515036a9e20ba5ec58756","Landscape conservation; Northern Italy; Protected areas","Biodiversity; Laws and legislation; Natural resources; Sustainable development; Landscape conservation; Northern Italy; Protected areas; Urban planning; conservation management; ecosystem management; environmental policy; landscape protection; protected area; Eastern Hemisphere; Eurasia; Europe; Italy; Lombardy; Southern Europe; World; Aves","Article","Scopus",17,1
14,"National","Italy",NA,"Cross-realm","All","Contemporary only","Representation","Habitats Directive, Birds Directive","Other","Species",462,"None","None","no","no","Maiorano, L., Falcucci, A., & Boitani, L.","Gap analysis of terrestrial vertebrates in Italy: Priorities for conservation planning in a human dominated landscape",2006,"Biological Conservation","10.1016/j.biocon.2006.07.015",NA,NA,NA,"Article","Manual",125,6
15,"Local","Sweden","Örebro","Terrestrial","Forest","Contemporary only","Representation","Case study","Zonation","Species",169,"None","None","no","no","Mikusiński G., Pressey R.L., Edenius L., Kujala H., Moilanen A., Niemelä J., Ranius T.","Conservation planning in forest landscapes of Fennoscandia and an approach to the challenge of Countdown 2010",2007,"Conservation Biology","10.1111/j.1523-1739.2007.00833.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-37349048981&doi=10.1111%2fj.1523-1739.2007.00833.x&partnerID=40&md5=ee87cde4cc36b0c5852bf7a6cafba828","Boreal forests; Reserve selection; Spatial conservation planning; Zonation software","biodiversity; conservation management; conservation planning; forest management; geographical distribution; habitat availability; population bottleneck; Red List; software; animal; conference paper; ecosystem; environmental protection; Finland; methodology; Norway; policy; Sweden; tree; vertebrate; Animals; Conservation of Natural Resources; Ecosystem; Finland; Norway; Public Policy; Sweden; Trees; Vertebrates; Eurasia; Fennoscandia","Conference Paper","Scopus",30,1
16,"Local","United Kingdom","Scotland","Terrestrial","All","Contemporary only","Priority places","None","GIS overlay/ Ranking / Clustering","Multiple",3,"None","None","no","no","Gimona A., Van Der Horst D.","Mapping hotspots of multiple landscape functions: A case study on farmland afforestation in Scotland",2007,"Landscape Ecology","10.1007/s10980-007-9105-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548139395&doi=10.1007%2fs10980-007-9105-7&partnerID=40&md5=f0ef66ffb5c698f1f42c46e5eefadc1e","Biodiversity; Farm woodlands; GIS; Landscape; Multifunctionality; Recreation; Spatial targeting; Visual amenity","afforestation; agricultural land; landscape structure; policy making; stakeholder; trade-off; Eurasia; Europe; Scotland; United Kingdom; Western Europe","Article","Scopus",118,2
17,"National","United Kingdom",NA,"Terrestrial","All","Contemporary only","Representation","None","Zonation","Species",57,"None","Functional","no","no","Early R., Thomas C.D.","Multispecies conservation planning: Identifying landscapes for the conservation of viable populations using local and continental species priorities",2007,"Journal of Applied Ecology","10.1111/j.1365-2664.2006.01268.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33947322487&doi=10.1111%2fj.1365-2664.2006.01268.x&partnerID=40&md5=c7059201ee611b59dede138b74a9ef60","British butterflies; Connectivity; Landscape prioritization; Population viability; Red lists; ZONATION","butterfly; connectivity; conservation planning; environmental change; nature reserve; population distribution; population dynamics; population viability analysis; prioritization; Red List; reserve design; Eurasia; Europe; United Kingdom; Western Europe; Papilionoidea","Article","Scopus",36,0
18,"Local","Italy","Tento","Terrestrial","All","Contemporary only","Representation","Common Agricultural policy","GIS overlay/ Ranking / Clustering","Species",189,"None","None","no","no","Sergio F., Pedrini P.","Biodiversity gradients in the Alps: The overriding importance of elevation",2007,"Biodiversity and Conservation","10.1007/s10531-006-9113-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-36148934861&doi=10.1007%2fs10531-006-9113-y&partnerID=40&md5=30caf0793d65f80d425d5de0676349ee","Alps; Biodiversity; Elevation; Grassland; Habitat heterogeneity; Protected areas; Reserve network; Species richness; Vertebrates","biodiversity; conservation planning; ecosystem management; elevation; grassland; habitat availability; habitat structure; heterogeneity; mountain region; protected area; species richness; vertebrate; Alps; Eurasia; Europe; Italy; Southern Europe; Trentino-Alto Adige; Trento; Amphibia; Animalia; Aves; Reptilia; Vertebrata","Article","Scopus",43,0
19,"Local","Italy","Apennines","Terrestrial",NA,"Contemporary only","Priority places","case study","Marxan*","Species",2,"None","Boundary","yes","yes","Rondinini C., Boitani L.","Systematic conservation planning and the cost of tackling conservation conflicts with large carnivores in Italy",2007,"Conservation Biology","10.1111/j.1523-1739.2007.00834.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-37349055103&doi=10.1111%2fj.1523-1739.2007.00834.x&partnerID=40&md5=11a6d5f0aca77155e92e6de5f8c6d4b6","Antipredator measures; Bear; Habitat suitability modeling; Reserve selection; Wolf","bear; biodiversity; canid; carnivore; conservation planning; cost-benefit analysis; habitat quality; human activity; nature reserve; private land; site selection; agriculture; animal; bear; conference paper; economics; environmental protection; Italy; methodology; physiology; population dynamics; predation; sheep; wolf; Agriculture; Animals; Conservation of Natural Resources; Italy; Population Dynamics; Predatory Behavior; Sheep; Ursidae; Wolves; Eurasia; Europe; Italy; Southern Europe; Canidae; Canis familiaris; Canis lupus; Ovis aries; Ursus arctos","Conference Paper","Scopus",34,0
20,"Local","Germany","Saxony-Anhalt","Terrestrial","All","Contemporary only","Priority places","Case study","Integer programming","Multiple",6,"Multi-objective/criteria","None","no","yes","Meyer B.C., Grabaum R.","MULBO: Model framework for Multicriteria Landscape Assessment and Optimisation. A support system for spatial land use decisions",2008,"Landscape Research","10.1080/01426390801907428","https://www.scopus.com/inward/record.uri?eid=2-s2.0-42149121941&doi=10.1080%2f01426390801907428&partnerID=40&md5=6a0f308e2264177f16853b9858365085","Integration; Land use; Landscape function; Linear programming; Optimisation; SDSS; Spatial planning","assessment method; conference proceeding; decision support system; land use planning; landscape planning; modeling; multicriteria analysis; optimization; risk assessment; spatial planning; Central Europe; Eurasia; Europe; Germany; Saxony-Anhalt","Conference Paper","Scopus",51,5
21,"National","Finland",NA,"Terrestrial","Forest","Contemporary only","Priority places","Habitats Directive","Zonation","Multiple",NA,"None","Multiple","no","no","Lehtomäki J., Tomppo E., Kuokkanen P., Hanski I., Moilanen A.","Applying spatial conservation prioritization software and high-resolution GIS data to a national-scale study in forest conservation",2009,"Forest Ecology and Management","10.1016/j.foreco.2009.08.026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349750475&doi=10.1016%2fj.foreco.2009.08.026&partnerID=40&md5=00ac5ccd6a068f29cb63f43ac1196217","Boreal forest; Connectivity; Conservation planning; GIS; Zonation","Boreal forest; Connectivity; Conservation planning; GIS; Zonation; Biodiversity; Forestry; Geographic information systems; Laws and legislation; Planning; Conservation; biodiversity; boreal forest; connectivity; conservation planning; data set; forest management; GIS; image resolution; national park; national planning; national strategy; nature conservation; protected area; satellite data; software; spatial distribution; Biodiversity; Conservation; Forestry; GIS; Legislation; Planning; Eurasia; Europe; Finland; Northern Europe; Scandinavia","Article","Scopus",70,5
22,"National","United Kingdom","England","Terrestrial","All","Contemporary only","Representation","None","GIS overlay/ Ranking / Clustering","Multiple",330,"None","None","no","no","Eigenbrod F., Anderson B.J., Armsworth P.R., Heinemeyer A., Jackson S.F., Parnell M., Thomas C.D., Gaston K.J.","Ecosystem service benefits of contrasting conservation strategies in a human-dominated region",2009,"Proceedings of the Royal Society B: Biological Sciences","10.1098/rspb.2009.0528","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67650003785&doi=10.1098%2frspb.2009.0528&partnerID=40&md5=6188dd72188916185788ace185a941fe","Biodiversity; Ecosystem services; Land management; Protected areas; Sustainability","agricultural production; biodiversity; carbon sequestration; conservation; ecosystem service; land management; landscape; policy making; protected area; sustainability; wilderness area; agricultural land; agriculture; article; biodiversity; carbon storage; ecosystem; environmental protection; land use; landscape; priority journal; United Kingdom; England; Eurasia; Europe; United Kingdom; Western Europe","Article","Scopus",102,2
23,"National","Italy",NA,"Terrestrial","All","Contemporary only","Priority places","None","Zonation","Species",232,"None","None","no","no","Girardello M., Griggio M., Whittingham M.J., Rushton S.P.","Identifying important areas for butterfly conservation in Italy",2009,"Animal Conservation","10.1111/j.1469-1795.2008.00216.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-59349110654&doi=10.1111%2fj.1469-1795.2008.00216.x&partnerID=40&md5=c7e64df29bc321ed4ee974f408aae54d","Bagging predictors; Butterflies; Italy; Site prioritization; Zonation","biomonitoring; butterfly; conservation management; conservation planning; landscape protection; modeling; niche; prediction; species conservation; Alps; Eurasia; Europe; Italy; Puglia; Sardinia; Southern Europe; Papilionoidea","Article","Scopus",26,0
24,"National","United Kingdom","Great Britain","Terrestrial","All","Contemporary only","Priority places","None","Zonation","Species",108,"None","Functional","no","no","Franco A.M.A., Anderson B.J., Roy D.B., Gillings S., Fox R., Moilanen A., Thomas C.D.","Surrogacy and persistence in reserve selection: Landscape prioritization for multiple taxa in Britain",2009,"Journal of Applied Ecology","10.1111/j.1365-2664.2008.01598.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-58249106866&doi=10.1111%2fj.1365-2664.2008.01598.x&partnerID=40&md5=aef9b96b29fad3dae34604e74145b748","Amphibians; Biodiversity; Birds; Butterflies; Conservation; Mammals; Plants; Protected areas; Reptiles; Zonation","biodiversity; connectivity; environmental protection; nature conservation; nature reserve; persistence; prioritization; zonation; Eurasia; Europe; United Kingdom; Western Europe; Amphibia; Aves; Mammalia; Papilionoidea; Reptilia","Article","Scopus",32,0
25,"Local","Germany","Badem-Württemberg","Terrestrial","Forest","Contemporary only","Management action",NA,"Integer programming","Other",1,"Multi-objective/criteria","None","no","no","Yousefpour R., Hanewinkel M.","Modelling of forest conversion planning with an adaptive simulation-optimization approach and simultaneous consideration of the values of timber, carbon and biodiversity",2009,"Ecological Economics","10.1016/j.ecolecon.2008.12.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-62649151311&doi=10.1016%2fj.ecolecon.2008.12.009&partnerID=40&md5=74f94bf2b40420adf9d63fcaf18dd1fc","""TreeGrOSS""; Biodiversity; Black Forest; Carbon sequestration; Dynamic linear programming; Wood even flow","biodiversity; carbon; carbon sequestration; environmental modeling; forest management; land use change; land use planning; optimization; sensitivity analysis; silviculture; timber; valuation; Fagus; Picea abies","Article","Scopus",53,1
26,"Regional","Spain, Portugal, France, Italy, Belgium, Slovenia",NA,"Freshwater","groundwater","Contemporary only","Representation","case study","Marxan*","Species",1059,"None","Boundary","no","no","Michel G., Malard F., Deharveng L., Di Lorenzo T., Sket B., De Broyer C.","Reserve selection for conserving groundwater biodiversity",2009,"Freshwater Biology","10.1111/j.1365-2427.2009.02192.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-62949229369&doi=10.1111%2fj.1365-2427.2009.02192.x&partnerID=40&md5=d35cca418a6878652405b7d7222e282d","Biodiversity hotspots; Complementary areas; Endemism; Reserve design; Subterranean ecosystem","NA","Article","Scopus",54,1
27,"Local","Italy","West-central coast","Marine","All","Contemporary only","Priority places","None","Marxan*","Species",10,"Constrains","None","no","no","Maiorano, L., Bartolino, V., Colloca, F., Abella, A., Belluscio, A., Carpentieri, P., Criscoli, A., Jona Lasinio, G., Mannini, A., Pranovi, F. and Reale, B.","Systematic conservation planning in the Mediterranean: a flexible tool for the identification of no-take marine protected areas",2009,"ICES Journal of Marine Science","10.1093/icesjms/fsn148",NA,NA,NA,"Article","Manual",22,1
28,"Regional","Mediteranean",NA,"Cross-realm","All","Contemporary only","Priority places","None","Marxan*","Species",519,"Costs","None","yes","no","Kark, S., Levin, N., Grantham, H. S., & Possingham, H. P.","Between-country collaboration and consideration of costs increase conservation planning efficiency in the Mediterranean Basin.",2009,"PNAS","10.1073/pnas.0901001106",NA,NA,NA,"Article","Manual",162,5
29,"Local","United Kingdom","South england","Freshwater","Rivers, Ponds, Lakes","Contemporary only","Representation","Water Framework Directive, Case study","Marxan*","Species",361,"None","None","no","no","Davies, B., Biggs, J., Williams, P., & Thompson, S.","Making agricultural landscapes more sustainable for freshwater biodiversity: a case study from southern England",2009,"Aquatic Conservation: Marine and Freshwater Ecosystems","10.1002/aqc.1007",NA,NA,NA,"Article","Manual",36,1
30,"Europe","Europe",NA,"Terrestrial","All","Contemporary only","Priority places","Habitats Directive, Birds Directive","Integer programming","Species",70,"None","Structural","no","no","Jantke K., Schneider U.A.","Multiple-species conservation planning for European wetlands with different degrees of coordination",2010,"Biological Conservation","10.1016/j.biocon.2010.04.036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954818403&doi=10.1016%2fj.biocon.2010.04.036&partnerID=40&md5=b84545cd5d7d70e7b80c676a020015ea","European environmental policies; Mixed integer programming; Persistence; Representation; Set-covering problem; Systematic conservation planning","biogeography; conservation planning; environmental policy; persistence; planning system; political participation; spatial planning; species conservation; taxonomy; wetland; Europe","Article","Scopus",23,2
31,"Local","Portugal","Trás-os-Montes","Terrestrial","Cropland","Both","Management action","Common Agricultural policy","Integer programming","Other",2,"Constrains","None","no","no","Fleskens L., Graaff J.D.","Conserving natural resources in olive orchards on sloping land: Alternative goal programming approaches towards effective design of cross-compliance and agri-environmental measures",2010,"Agricultural Systems","10.1016/j.agsy.2010.05.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956185906&doi=10.1016%2fj.agsy.2010.05.005&partnerID=40&md5=7f4204a37bee1d6bb6f2ed12b532a350","EU agricultural policies; Goal Programming (GP); Mediterranean; Multifunctionality; Stakeholder perspectives","agri-environmental policy; agroforestry; decision making; dicotyledon; environmental effect; environmental issue; European Union; income distribution; linear programing; market conditions; natural resource; orchard; organic farming; price determination; rural area; slope farming; stakeholder; Portugal; Tras os Montes","Article","Scopus",17,0
32,"Local","Germany","Saxony","Terrestrial","All","Contemporary only","Management action","case study","Other","Species",1,"Constrains","None","no","no","Eichhorn M., Drechsler M.","Spatial trade-offs between wind power production and bird collision avoidance in agricultural landscapes",2010,"Ecology and Society","10.5751/ES-03268-150210","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954484596&doi=10.5751%2fES-03268-150210&partnerID=40&md5=ef46991196fafbd2ce2228df7b31b129","Bird protection; Efficiency frontier; Land use optimization; Spatial allocation; Trade-off; Wind power","Aves; Milvus milvus","Article","Scopus",22,0
33,"National","Finland",NA,"Terrestrial","All","Contemporary only","Representation","case study","Other","Species",1,NA,"None","no","no","Cabeza M., Arponen A., Jäättelä L., Kujala H., van Teeffelen A., Hanski I.","Conservation planning with insects at three different spatial scales",2010,"Ecography","10.1111/j.1600-0587.2009.06040.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953938008&doi=10.1111%2fj.1600-0587.2009.06040.x&partnerID=40&md5=878c3ce769e2073484f51fdafc4ff961","NA","butterfly; climate change; conservation planning; cost-benefit analysis; decision making; ecological modeling; habitat loss; habitat management; interpolation; landscape ecology; mapping method; numerical model; protected area; quantitative analysis; spatial variation; trade-off; Hexapoda; Papilionoidea","Article","Scopus",51,1
34,"Local","Sweden, Finland","Baltic Sea","Marine","Coastal","Contemporary only","Representation","Habitats Directive","GIS overlay/ Ranking / Clustering","Species",4,"None","None","no","no","Sundblad G., Bergström U., Sandström A.","Ecological coherence of marine protected area networks: A spatial assessment using species distribution models",2011,"Journal of Applied Ecology","10.1111/j.1365-2664.2010.01892.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650950756&doi=10.1111%2fj.1365-2664.2010.01892.x&partnerID=40&md5=08cdc71c24fe3229541aae745e0c29c8","Baltic Sea; Connectivity; Essential fish habitats; Habitat modelling; Habitats directive; Marine reserves; Natura 2000","adaptive management; adult; archipelago; connectivity; conservation management; ecological modeling; environmental gradient; fish; GIS; juvenile; marine park; population distribution; recruitment (population dynamics); spatial analysis; stakeholder; survival; Atlantic Ocean; Baltic Sea","Article","Scopus",58,11
35,"Local","United Kingdom","Outer Hebrides","Terrestrial","Grassland","Contemporary only","Multiple","Case study","Integer programming","Species",NA,"Multi-objective/criteria","None","yes","yes","Osgathorpe L.M., Park K., Goulson D., Acs S., Hanley N.","The trade-off between agriculture and biodiversity in marginal areas: Can crofting and bumblebee conservation be reconciled?",2011,"Ecological Economics","10.1016/j.ecolecon.2011.01.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953742940&doi=10.1016%2fj.ecolecon.2011.01.010&partnerID=40&md5=9f19f46b8588f43b98803fa1fbc6db33","Agri-environment policy; Bombus; Conservation economics; Crofting; Ecological-economic models","abundance; agri-environmental policy; agricultural economics; bee; conservation management; ecological economics; ecological impact; land use change; mixed farming; numerical model; policy making; population density; socioeconomic conditions; species conservation; trade-off; Highlands; Scotland; United Kingdom; Apoidea","Article","Scopus",13,2
36,"Local","France","Rhône valley","Terrestrial","All","Contemporary only","Multiple","None","Marxan*","Species",3162,"None","Boundary","no","no","Vimal R., Rodrigues A.S.L., Mathevet R., Thompson J.D.","The sensitivity of gap analysis to conservation targets",2011,"Biodiversity and Conservation","10.1007/s10531-010-9963-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79951772653&doi=10.1007%2fs10531-010-9963-1&partnerID=40&md5=2c2602f46ad32863a8b43bf847adbc14","Conservation priorities; Conservation targets; Gap analysis; Protected areas; Systematic conservation planning","biodiversity; conservation planning; data set; gap dynamics; habitat conservation; prioritization; protected area; sensitivity analysis; vertebrate; France; Vertebrata","Article","Scopus",27,0
